No;Course Category;Course Title;Course Topics;Content Type;Title;URL
111;Islamic Fundamental;Fiqh;Intro Ilmu Fiqh;Video;Part 1 Intro Ilmu Fiqh;https://youtu.be/DWKXfL1Mcjg
112;Islamic Fundamental;Fiqh;Intro Ilmu Fiqh;Video;Part 2 Metode Memahami Fiqh;https://youtu.be/pCCxXrBJf3g
113;Islamic Fundamental;Fiqh;Intro Ilmu Fiqh;Video;Part 3 Bagaimana Hukum Digali?;https://youtu.be/OTKX5ZKUMh0
114;Islamic Fundamental;Fiqh;Intro Ilmu Fiqh;Video;Part 4 Sejarah Perkembangan Fiqh Islam;https://youtu.be/hjGX50un4zE
115;Islamic Fundamental;Fiqh;Intro Ilmu Fiqh;Video;Part 5 Bolehkah Mencampur Madzhab?;https://youtu.be/tnUM2cf-7EI
116;Islamic Fundamental;Fiqh;Intro Ilmu Fiqh;Video;Part 6 Urgensi Mempelajari Fiqh;https://youtu.be/9sEbTXOtLIk
117;Islamic Fundamental;Fiqh;Intro Ilmu Fiqh;Video;Part 7 Metode Fiqh yang Dipilih;https://youtu.be/2rhq7fTDGDc
118;Islamic Fundamental;Fiqh;Fiqh Zakat;Video;Part 1 Intro Fiqh Zakat;https://youtu.be/sExGncJxf1s
119;Islamic Fundamental;Fiqh;Fiqh Zakat;Video;Part 2 Makna dan Syarat Zakat;https://youtu.be/pi64bnRXlcw
120;Islamic Fundamental;Fiqh;Fiqh Zakat;Video;Part 3 Sejarah, Keutamaan, Faedah Zakat;https://youtu.be/HgiV6PfKWgA
121;Islamic Fundamental;Fiqh;Fiqh Zakat;Video;Part 4 Tentang Muzakki & Mustahik;https://youtu.be/CHYJbME90gY
122;Islamic Fundamental;Fiqh;Fiqh Zakat;Video;Part 5 Hukum dan Hukuman Zakat;https://youtu.be/uhhSvDdi0q8
123;Islamic Fundamental;Fiqh;Fiqh Zakat;Video;Part 6 Kesimpulan Fiqh Zakat;https://youtu.be/24aOMF4xmtM
124;Islamic Fundamental;Fiqh;Fiqh Sholat;Video;Part 1 Intro Fiqh Sholat;https://youtu.be/6j5BaplKohk
125;Islamic Fundamental;Fiqh;Fiqh Sholat;Video;Part 2 Hukum dan Tujuan Sholat;https://youtu.be/NopIPDpDnaI
126;Islamic Fundamental;Fiqh;Fiqh Sholat;Video;Part 3 Keutamaan Sholat;https://youtu.be/coi3pYrcsI0
127;Islamic Fundamental;Fiqh;Fiqh Sholat;Video;Part 4 Syarat Sah, Rukun, dan Wajib;https://youtu.be/8u_IeRXb360
128;Islamic Fundamental;Fiqh;Fiqh Sholat;Video;Part 5 Sunnah dan Pembatal Sholat;https://youtu.be/LOoqXth0T_k
129;Islamic Fundamental;Fiqh;Fiqh Sholat;Video;Part 6 Keutamaan Sholat Berjamaah;https://youtu.be/mrXaQz-PGEI
130;Islamic Fundamental;Fiqh;Fiqh Sholat;Video;Part 7 Kesimpulan Fiqh Sholat;https://youtu.be/hDkWTIpqJuc
